time,open,high,low,close,Volume
2022-10-18,1055.1,1069.8,1048.9,1057.9,352172
2022-10-19,1058.7,1059.5,1045.5,1053,331477
2022-10-20,1045.2,1059.7,1039.7,1058,280262
2022-10-21,1038.6,1038.8,981.6,985,417973
2022-10-24,995.5,996,930.2,942,462554
2022-10-25,940,985,932.1,961,644884
2022-10-26,970,976.6,954.4,967.5,469459
2022-10-27,975.5,1025,972.1,1025,474823
2022-10-28,1027.2,1036.9,1013.6,1016,445015
2022-10-31,1023.8,1027.9,984.3,1024,481272
2022-11-01,1030.1,1047,1018,1018,478966
2022-11-02,1015.1,1028.8,1003,1021,487889
2022-11-03,1011,1024,1001.1,1001.1,393434
2022-11-04,995.2,996.2,958.1,980,491068
2022-11-07,980.2,991,950,950,429399
2022-11-08,945.1,985.5,935,972.1,435319
2022-11-09,976.9,988,955.5,959,410520
2022-11-10,951,959.6,905.4,912.8,469249
2022-11-11,934.1,959.8,930.5,938,533652
2022-11-14,934,938,912.7,932,592403
2022-11-15,926,926.9,884.6,895,533665
2022-11-16,876.1,957.6,860.6,957.6,566744
2022-11-17,953,973.8,950.2,972.5,291529
2022-11-18,960.1,975.5,938.5,963,525965
2022-11-21,969.3,971,938.2,938.2,443488
2022-11-22,933,990,926,926,588279
2022-11-23,933,948,915.8,924.1,541427
2022-11-24,921,939.8,918,938.9,445450
2022-11-25,946.5,969,945.3,969,363721
2022-11-28,975,1008,972.4,993.7,381565
2022-11-29,992.3,1015.5,986.6,1015.5,411056
2022-11-30,1020,1031.3,1009.7,1027.9,403846
2022-12-01,1041,1059.8,1029,1029,415110
2022-12-02,1029,1101,1025,1101,430013
2022-12-05,1108,1128,1086.7,1104,472192
2022-12-06,1103,1103,1046,1046,477035
2022-12-07,1040,1062.2,1034.1,1053.3,503186
2022-12-08,1052.8,1105.5,1051.5,1055,536826
2022-12-09,1058.8,1084,1046.1,1070,566948
2022-12-12,1070,1074.3,1035.2,1035.2,405984
2022-12-13,1039.4,1058,1026,1058,440942
2022-12-14,1068,1071.3,1048.5,1059.6,382549
2022-12-15,1059.4,1079,1056.6,1065.1,278784
2022-12-16,1059.2,1076,1053.8,1060,298058
2022-12-19,1053.3,1076,1045,1045,294376
2022-12-20,1041.5,1044,1006.3,1027,414837
2022-12-21,1030,1039,1009,1037,407905
2022-12-22,1043.5,1045.6,1026,1037.7,363417
2022-12-23,1031.1,1045,1016.2,1034.8,364086
2022-12-26,1030.3,1032,986.4,986.4,379662
2022-12-27,990,1011,982.1,1001,410156
2022-12-28,998,1017.9,990.9,1008,382256
2022-12-29,1003,1014.5,993,993,348826
2022-12-30,997.9,1010.3,995.2,1004.5,274298
2023-01-03,999.8,1045.5,999.8,1045.5,318703
2023-01-04,1046.1,1054.2,1038.5,1042.7,341378
2023-01-05,1045,1061,1043.2,1053.8,262657
2023-01-06,1053.5,1068,1046,1051,333870
2023-01-09,1059,1064,1050,1053.6,266210
2023-01-10,1051.1,1062.8,1047.4,1056.6,290594
2023-01-11,1061.9,1073,1060.6,1062.7,260926
2023-01-12,1067,1069.1,1056.2,1065.2,239097
2023-01-13,1071,1075.7,1062.2,1069.1,240686
2023-01-16,1070.7,1075.8,1064.2,1075.2,207203
2023-01-17,1080,1107.4,1078.5,1107,270106
2023-01-18,1103.6,1122.4,1103.6,1117.3,267205
2023-01-19,1114.4,1124,1112.8,1121,220815
2023-01-27,1138.9,1145.8,1122.3,1127,178930
2023-01-30,1125,1129,1109.8,1109.8,209140
2023-01-31,1108.4,1126.9,1097.5,1125,215071
2023-02-01,1129.9,1130.6,1084.5,1088.5,321317
2023-02-02,1090,1101.3,1076.2,1088,353621
2023-02-03,1093.5,1093.5,1080,1081.9,236022
2023-02-06,1078,1095.1,1068.5,1090.6,284739
2023-02-07,1091.1,1093.9,1062.1,1067.3,278669
2023-02-08,1070,1084,1065.5,1072,289877
2023-02-09,1068.6,1077,1057,1057,371900
2023-02-10,1056.9,1059,1044.1,1045,267210
2023-02-13,1042.9,1046,1021.6,1038.6,289504
2023-02-14,1041,1041,1026.1,1030.9,276789
2023-02-15,1031,1051,1027.6,1037,348400
2023-02-16,1041,1053.7,1038.6,1052.3,240686
2023-02-17,1051,1052.6,1040.5,1049,294696
2023-02-20,1050,1091,1049.9,1088,296182
2023-02-21,1089.6,1092.7,1076.1,1076.1,284158
2023-02-22,1064.8,1070.6,1043.8,1043.8,309129
2023-02-23,1045.8,1048,1025,1048,356692
2023-02-24,1045,1047.7,1012.1,1020,329590
2023-02-27,1017.4,1020,1003.1,1011,317053
2023-02-28,1014.5,1022.8,1005.7,1008,306067
2023-03-01,1003.6,1035,998.1,1032,407520
2023-03-02,1031,1036,1020.1,1024,336940
2023-03-03,1028,1032.1,1005.2,1005.2,362071
2023-03-06,1013.6,1036,1010,1010,374052
2023-03-07,1020,1041,1018.6,1027.9,448337
2023-03-08,1017,1038,1013.6,1038,359046
2023-03-09,1042.7,1057.8,1036,1050.7,346144
2023-03-10,1042.9,1049.8,1031.1,1049.8,336515
